,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
61,2017-12-03,495,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,Winter,0,1
62,2017-12-03,563,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,Winter,0,1
63,2017-12-03,621,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,0,1
64,2017-12-03,598,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,0,1
65,2017-12-03,545,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,Winter,0,1
66,2017-12-03,443,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,Winter,0,1
67,2017-12-03,422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,0,1
68,2017-12-03,397,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,Winter,0,1
69,2017-12-03,385,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,Winter,0,1
70,2017-12-03,350,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,0,1
71,2017-12-03,303,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,0,1
72,2017-12-04,285,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,Winter,0,1
73,2017-12-04,186,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,0,1
74,2017-12-04,112,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,Winter,0,1
75,2017-12-04,65,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,0,1
76,2017-12-04,41,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,Winter,0,1
77,2017-12-04,82,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,Winter,0,1
78,2017-12-04,200,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,Winter,0,1
79,2017-12-04,498,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,Winter,0,1
80,2017-12-04,937,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,Winter,0,1
81,2017-12-04,509,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,Winter,0,1
82,2017-12-04,311,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,0,1
83,2017-12-04,379,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,Winter,0,1
84,2017-12-04,393,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,Winter,0,1
85,2017-12-04,391,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,0,1
86,2017-12-04,338,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,Winter,0,1
87,2017-12-04,341,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Winter,0,1
88,2017-12-04,375,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,Winter,0,1
89,2017-12-04,515,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,Winter,0,1
90,2017-12-04,807,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,Winter,0,1
91,2017-12-04,568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,0,1
92,2017-12-04,398,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,Winter,0,1
93,2017-12-04,397,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,Winter,0,1
94,2017-12-04,353,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,0,1
95,2017-12-04,248,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,0,1
96,2017-12-05,216,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,Winter,0,1
97,2017-12-05,198,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,Winter,0,1
98,2017-12-05,124,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,Winter,0,1
99,2017-12-05,62,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,Winter,0,1
100,2017-12-05,42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,0,1
101,2017-12-05,82,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,Winter,0,1
102,2017-12-05,172,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,Winter,0,1
103,2017-12-05,381,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Winter,0,1
104,2017-12-05,812,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,Winter,0,1
105,2017-12-05,462,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,Winter,0,1
106,2017-12-05,269,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,Winter,0,1
107,2017-12-05,334,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,Winter,0,1
108,2017-12-05,321,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,Winter,0,1
109,2017-12-05,325,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,Winter,0,1
110,2017-12-05,334,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,Winter,0,1
111,2017-12-05,353,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,Winter,0,1
112,2017-12-05,435,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,Winter,0,1
113,2017-12-05,529,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,Winter,0,1
114,2017-12-05,789,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,Winter,0,1
115,2017-12-05,597,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,Winter,0,1
116,2017-12-05,418,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,Winter,0,1
117,2017-12-05,415,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,Winter,0,1
118,2017-12-05,393,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,Winter,0,1
119,2017-12-05,244,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,Winter,0,1
120,2017-12-06,145,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,Winter,0,1
121,2017-12-06,144,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,Winter,0,1
122,2017-12-06,117,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,Winter,0,1
123,2017-12-06,78,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,Winter,0,1
124,2017-12-06,58,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,Winter,0,1
125,2017-12-06,87,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,Winter,0,1
126,2017-12-06,142,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,Winter,0,1
127,2017-12-06,379,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,Winter,0,1
128,2017-12-06,802,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,Winter,0,1
129,2017-12-06,440,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,Winter,0,1
130,2017-12-06,307,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,Winter,0,1
131,2017-12-06,381,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,Winter,0,1
132,2017-12-06,405,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,Winter,0,1
133,2017-12-06,442,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,Winter,0,1
134,2017-12-06,416,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,Winter,0,1
135,2017-12-06,412,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,Winter,0,1
136,2017-12-06,496,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,Winter,0,1
137,2017-12-06,239,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,Winter,0,1
138,2017-12-06,204,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,0,1
139,2017-12-06,205,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,Winter,0,1
140,2017-12-06,190,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,Winter,0,1
141,2017-12-06,165,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,Winter,0,1
142,2017-12-06,222,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,Winter,0,1
143,2017-12-06,193,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,Winter,0,1
144,2017-12-07,198,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,Winter,0,1
145,2017-12-07,218,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,Winter,0,1
146,2017-12-07,149,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,Winter,0,1
147,2017-12-07,102,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,Winter,0,1
148,2017-12-07,62,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,Winter,0,1
149,2017-12-07,83,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,Winter,0,1
150,2017-12-07,137,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,Winter,0,1
151,2017-12-07,367,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,Winter,0,1
152,2017-12-07,754,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,0,1
153,2017-12-07,415,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,Winter,0,1
154,2017-12-07,321,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,Winter,0,1
155,2017-12-07,333,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,Winter,0,1
156,2017-12-07,431,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,Winter,0,1
157,2017-12-07,394,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,Winter,0,1
158,2017-12-07,390,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,Winter,0,1
159,2017-12-07,430,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,Winter,0,1
160,2017-12-07,471,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,Winter,0,1
161,2017-12-07,552,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,Winter,0,1
162,2017-12-07,795,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,Winter,0,1
163,2017-12-07,507,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,Winter,0,1
164,2017-12-07,390,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,Winter,0,1
165,2017-12-07,402,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,Winter,0,1
166,2017-12-07,389,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,Winter,0,1
167,2017-12-07,259,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,Winter,0,1
168,2017-12-08,233,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,0,1
169,2017-12-08,230,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,0,1
170,2017-12-08,131,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,Winter,0,1
171,2017-12-08,99,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,0,1
172,2017-12-08,71,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,Winter,0,1
173,2017-12-08,84,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,Winter,0,1
174,2017-12-08,158,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,Winter,0,1
175,2017-12-08,387,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,0,1
176,2017-12-08,780,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,Winter,0,1
177,2017-12-08,395,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,Winter,0,1
178,2017-12-08,261,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,Winter,0,1
179,2017-12-08,310,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,Winter,0,1
180,2017-12-08,355,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Winter,0,1
181,2017-12-08,354,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,Winter,0,1
182,2017-12-08,350,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,Winter,0,1
183,2017-12-08,362,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,Winter,0,1
184,2017-12-08,401,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,0,1
185,2017-12-08,500,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,Winter,0,1
186,2017-12-08,752,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,0,1
187,2017-12-08,477,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Winter,0,1
188,2017-12-08,384,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,0,1
189,2017-12-08,336,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,Winter,0,1
190,2017-12-08,347,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,0,1
191,2017-12-08,275,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,0,1
192,2017-12-09,267,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,0,1
193,2017-12-09,296,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,Winter,0,1
194,2017-12-09,237,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,Winter,0,1
195,2017-12-09,169,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,Winter,0,1
196,2017-12-09,96,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Winter,0,1
197,2017-12-09,56,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,Winter,0,1
198,2017-12-09,76,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Winter,0,1
199,2017-12-09,127,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,0,1
200,2017-12-09,222,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,Winter,0,1
201,2017-12-09,291,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,Winter,0,1
202,2017-12-09,273,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,Winter,0,1
203,2017-12-09,351,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,Winter,0,1
204,2017-12-09,427,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,Winter,0,1
205,2017-12-09,431,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,Winter,0,1
206,2017-12-09,486,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,Winter,0,1
207,2017-12-09,569,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,Winter,0,1
208,2017-12-09,546,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,Winter,0,1
209,2017-12-09,481,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,Winter,0,1
210,2017-12-09,384,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,0,1
211,2017-12-09,275,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,Winter,0,1
212,2017-12-09,298,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,Winter,0,1
213,2017-12-09,321,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,Winter,0,1
214,2017-12-09,289,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,Winter,0,1
215,2017-12-09,265,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,Winter,0,1
216,2017-12-10,326,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,Winter,0,1
217,2017-12-10,280,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,Winter,0,1
218,2017-12-10,243,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,Winter,0,1
219,2017-12-10,169,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,Winter,0,1
220,2017-12-10,71,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,Winter,0,1
221,2017-12-10,13,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,Winter,0,1
222,2017-12-10,9,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,Winter,0,1
223,2017-12-10,20,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,Winter,0,1
224,2017-12-10,35,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,Winter,0,1
225,2017-12-10,31,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,Winter,0,1
226,2017-12-10,19,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,Winter,0,1
227,2017-12-10,58,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,Winter,0,1
228,2017-12-10,119,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,Winter,0,1
229,2017-12-10,182,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,Winter,0,1
230,2017-12-10,235,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,Winter,0,1
231,2017-12-10,180,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,Winter,0,1
232,2017-12-10,214,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,Winter,0,1
233,2017-12-10,226,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,Winter,0,1
234,2017-12-10,210,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,Winter,0,1
235,2017-12-10,181,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,Winter,0,1
236,2017-12-10,165,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,Winter,0,1
237,2017-12-10,167,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,Winter,0,1
238,2017-12-10,152,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,Winter,0,1
239,2017-12-10,148,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,Winter,0,1
240,2017-12-11,125,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,Winter,0,1
241,2017-12-11,111,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,Winter,0,1
242,2017-12-11,67,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,Winter,0,1
243,2017-12-11,45,3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,Winter,0,1
244,2017-12-11,44,4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,Winter,0,1
245,2017-12-11,86,5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,Winter,0,1
246,2017-12-11,136,6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,Winter,0,1
247,2017-12-11,325,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,Winter,0,1
248,2017-12-11,653,8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,Winter,0,1
249,2017-12-11,326,9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,Winter,0,1
250,2017-12-11,212,10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,Winter,0,1
251,2017-12-11,226,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,Winter,0,1
252,2017-12-11,247,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,Winter,0,1
253,2017-12-11,241,13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,Winter,0,1
254,2017-12-11,253,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,Winter,0,1
255,2017-12-11,269,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,Winter,0,1
256,2017-12-11,277,16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,Winter,0,1
257,2017-12-11,361,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,Winter,0,1
258,2017-12-11,557,18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,Winter,0,1
259,2017-12-11,371,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,Winter,0,1
260,2017-12-11,254,20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,Winter,0,1
261,2017-12-11,266,21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,Winter,0,1
262,2017-12-11,222,22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,Winter,0,1
263,2017-12-11,174,23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,Winter,0,1
264,2017-12-12,133,0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,Winter,0,1
265,2017-12-12,127,1,-11.2,51,1.1,2000,-19.3,0.0,0.0,0.0,Winter,0,1
266,2017-12-12,95,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,Winter,0,1
267,2017-12-12,54,3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,Winter,0,1
268,2017-12-12,46,4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,Winter,0,1
